,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
324,Arak,IR,34.0917,49.6892,39.96,62,0,1.63,clear sky
325,Daru,PG,-9.0763,143.2092,80.87,85,88,8.61,overcast clouds
326,Huanren,CN,41.2647,125.3667,17.91,97,98,1.61,overcast clouds
327,Swan Hill,AU,-35.3378,143.5544,66.36,44,0,8.34,clear sky
328,Abha,SA,18.2164,42.5053,48.02,25,0,10.36,clear sky
329,Matara,LK,5.9485,80.5353,74.48,89,91,8.61,overcast clouds
330,Mount Isa,AU,-20.7333,139.5,78.57,13,0,10.36,clear sky
331,Yerbogachen,RU,61.2767,108.0108,-6.95,95,100,7.27,overcast clouds
332,Nuevo Progreso,MX,23.1667,-97.95,86.59,70,89,4.0,overcast clouds
333,Sisimiut,GL,66.9395,-53.6735,16.18,67,74,5.91,broken clouds
334,Saldanha,ZA,-33.0117,17.9442,64.45,89,3,3.65,clear sky
335,Adamovka,RU,51.5223,59.9396,17.22,85,100,8.43,overcast clouds
336,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,75,4.61,broken clouds
337,Terracina,IT,41.2863,13.2217,47.37,84,81,3.0,light rain
338,Kintinku,TZ,-5.8833,35.2333,74.8,56,68,6.31,broken clouds
339,Banda Aceh,ID,5.5577,95.3222,77.68,85,89,10.98,overcast clouds
340,Todos Santos,MX,23.45,-110.2167,80.01,70,97,13.11,overcast clouds
341,Tungor,RU,53.3808,142.9564,23.85,97,100,3.18,light snow
342,Mahanoro,MG,-19.9,48.8,74.55,86,85,4.34,overcast clouds
343,Saint-Francois,FR,46.4154,3.9054,39.47,88,90,8.05,overcast clouds
344,Bathurst,AU,-33.4166,149.5806,62.83,70,79,1.99,broken clouds
345,Bloemfontein,ZA,-29.1211,26.214,60.28,88,100,11.5,light rain
346,Port Augusta,AU,-32.5,137.7667,74.71,29,3,4.81,clear sky
